Language,ID
English,2196
"English,Spanish",125
"English,French",80
Hindi,55
"English,German",31
"English,Italian",25
Spanish,23
"Hindi,English",22
French,22
Japanese,20
"English,Mandarin",19
"Spanish,English",17
"English,Russian",16
"French,English",15
"English,Japanese",14
"English,Korean",10
Italian,10
"English,Latin",10
Mandarin,9
"English,Ukrainian",8
Korean,7
"English,Swedish",7
"English,Arabic",7
"English,Chinese",7
"English,American Sign Language",6
"English,Irish",6
"English,Russian,Spanish",5
"Korean,English",5
"English,Hebrew",5
"English,French,Italian",5
"English,French,German",5
"English,Spanish,French",5
"English,Thai",4
"English,Spanish,Portuguese",4
"Hindi,Urdu",4
"English,German,Russian",4
"English,German,French",4
"English,German,French,Italian",4
"English,Cantonese",4
"English,French,Latin",4
"English,French,German,Italian",4
German,3
"English,Hindi",3
"Mandarin,Cantonese",3
"English,Urdu",3
"English,Vietnamese",3
"English,Spanish,German",3
"English,French,Russian",3
"English,Dutch",3
"German,English",3
Russian,3
"Telugu,Tamil",3
"English,Portuguese",3
Danish,3
Swedish,3
Portuguese,3
"English,Klingon",3
"English,Norwegian",3
"Cantonese,Mandarin,Japanese",2
"English,Spanish,French,German",2
Indonesian,2
"English,Portuguese,Spanish,French",2
"English,Indonesian",2
"English,Hungarian",2
"English,Punjabi",2
"Italian,English",2
"English,French,Cantonese",2
None,2
"Cantonese,Mandarin,English",2
"English,Romanian",2
"English,Spanish,Russian",2
"English,Swahili",2
"English,Polish",2
"English,French,Spanish",2
"English,French,Ukrainian",2
"English,German,Spanish",2
"Arabic,English",2
"French,Arabic",2
Arabic,2
"English,German,Italian",2
"Cantonese,English",2
"English,Yiddish",2
"English,Italian,Latin",2
"English,Italian,German",2
"English,Aboriginal",2
"English,Arabic,German",2
"Khmer,English,French",2
"English,Armenian",2
"Portuguese,English",2
"Japanese,English",2
"English,Japanese,Spanish",2
Norwegian,2
"English,Italian,French",2
"English,Russian,French",2
"English,Japanese,French",2
"English,Japanese,Chinese,Spanish",1
"English,Mandarin,Persian",1
"English,Greek,French,Spanish",1
"English,Mandarin,Cantonese",1
"English,German,Xhosa,Russian,Romanian,Hindi",1
"English,Mandarin,German",1
"English,Greek,Yiddish,German",1
"English,German,Swahili",1
"English,Italian,Bosnian",1
"English,Japanese,German,French",1
"English,Mandarin,Spanish",1
"English,German,Polish,French",1
"English,Gujarati",1
"English,Mandarin,Spanish,Russian",1
"English,German,Norwegian",1
"English,Japanese,Italian",1
"English,German,Japanese",1
"English,Mandarin,Swiss German,Cantonese,Russian",1
"English,Japanese,Italian,French",1
"English,Japanese,Vietnamese",1
"English,Mandarin,Thai",1
"English,German,Italian,Latin,French",1
"English,Japanese,Xhosa,German",1
"English,Italian,Spanish",1
"English,Italian,Russian",1
"English,Hawaiian",1
"English,Hawaiian,French",1
"English,Italian,French,Welsh",1
"English,Irish,Aboriginal",1
"English,Korean,Cantonese,Spanish,German,Icelandic,Italian,Arabic",1
"English,Korean,Estonian",1
"English,Inuktitut,Croatian,Serbian",1
"English,Inuktitut",1
"English,Italian,German,French",1
"English,Korean,French",1
"English,Korean,German",1
"English,German,Hungarian,Romanian",1
"English,Italian,Japanese,Yiddish",1
"English,Khmer",1
"English,Italian,Latin,Spanish,German",1
"English,Korean,Spanish",1
"English,Latin,Hawaiian,French",1
"English,Hindi,Spanish",1
"English,Hindi,Italian",1
"English,Hindi,Bengali",1
"English,Italian,Polish,French",1
"English,Klingon,Russian,French",1
"English,Hebrew,Russian",1
"English,Latin,Icelandic",1
"English,Hebrew,Arabic,Italian",1
"English,Lingala,French",1
"English,Low German",1
"English,Icelandic,Italian",1
"Yiddish,English,Spanish",1
"English,German,Hebrew,Spanish,Arabic,Nepali",1
"English,Aramaic",1
"East-Greenlandic,English",1
"English,Afrikaans",1
"English,American Sign Language,German",1
"English,Amharic",1
"English,Apache languages",1
"English,Arabic,Mandarin",1
"English,Arabic,Persian",1
"English,Arabic,Spanish",1
